Date,Enters,Branch,Branch for data blending,Time,Region
7/8/2026,0,McKinley Park,McKinley Park,9:00PM,New Utrecht
7/8/2026,0,New Utrecht,New Utrecht,9:00PM,New Utrecht
7/8/2026,0,Sunset Park,Sunset Park,9:00PM,New Utrecht
7/8/2026,0,Ulmer Park,Ulmer Park,9:00PM,New Utrecht
7/8/2026,45,Adams Street,Adams Street,1:00PM,Park Slope
7/8/2026,50,Clinton Hill,Clinton Hill,1:00PM,Park Slope
7/8/2026,36,Library for Arts & Culture,Library for Arts & Culture,1:00PM,Park Slope
7/8/2026,0,Walt Whitman,Walt Whitman,1:00PM,Park Slope
7/8/2026,2,Adams Street,Adams Street,10:00AM,Park Slope
7/8/2026,34,Brooklyn Heights,Brooklyn Heights,10:00AM,Park Slope
7/8/2026,3,Clinton Hill,Clinton Hill,10:00AM,Park Slope
7/8/2026,12,Library for Arts & Culture,Library for Arts & Culture,10:00AM,Park Slope
7/8/2026,3,Park Slope,Park Slope,10:00AM,Park Slope
7/8/2026,0,Walt Whitman,Walt Whitman,10:00AM,Park Slope
7/8/2026,0,Adams Street,Adams Street,10:00PM,Park Slope
7/8/2026,0,Brooklyn Heights,Brooklyn Heights,10:00PM,Park Slope
7/8/2026,0,Library for Arts & Culture,Library for Arts & Culture,10:00PM,Park Slope
7/8/2026,0,Walt Whitman,Walt Whitman,10:00PM,Park Slope
7/8/2026,19,Adams Street,Adams Street,11:00AM,Park Slope
7/8/2026,83,Clinton Hill,Clinton Hill,11:00AM,Park Slope
7/8/2026,29,Library for Arts & Culture,Library for Arts & Culture,11:00AM,Park Slope
7/8/2026,0,Walt Whitman,Walt Whitman,11:00AM,Park Slope
