Date,Enters,Branch,Branch for data blending,Time,Region
7/8/2026,20,Center for Brooklyn History,Center for Brooklyn History,1:00PM,Center for Brooklyn History
7/8/2026,1,Center for Brooklyn History,Center for Brooklyn History,10:00AM,Center for Brooklyn History
7/8/2026,0,Center for Brooklyn History,Center for Brooklyn History,10:00PM,Center for Brooklyn History
7/8/2026,16,Center for Brooklyn History,Center for Brooklyn History,11:00AM,Center for Brooklyn History
7/8/2026,12,Center for Brooklyn History,Center for Brooklyn History,12:00PM,Center for Brooklyn History
7/8/2026,23,Center for Brooklyn History,Center for Brooklyn History,2:00PM,Center for Brooklyn History
7/8/2026,22,Center for Brooklyn History,Center for Brooklyn History,3:00PM,Center for Brooklyn History
7/8/2026,23,Center for Brooklyn History,Center for Brooklyn History,4:00PM,Center for Brooklyn History
7/8/2026,8,Center for Brooklyn History,Center for Brooklyn History,5:00PM,Center for Brooklyn History
7/8/2026,7,Center for Brooklyn History,Center for Brooklyn History,6:00PM,Center for Brooklyn History
7/8/2026,0,Center for Brooklyn History,Center for Brooklyn History,7:00PM,Center for Brooklyn History
7/8/2026,0,Center for Brooklyn History,Center for Brooklyn History,8:00PM,Center for Brooklyn History
7/8/2026,0,Center for Brooklyn History,Center for Brooklyn History,9:00PM,Center for Brooklyn History
7/8/2026,285,Central,Central,1:00PM,Central
7/8/2026,325,Central,Central,11:00AM,Central
7/8/2026,405,Central,Central,2:00PM,Central
7/8/2026,372,Central,Central,3:00PM,Central
7/8/2026,35,Bedford,Bedford,1:00PM,Crown Heights
7/8/2026,52,DeKalb,Dekalb,1:00PM,Crown Heights
7/8/2026,98,Greenpoint,Greenpoint,1:00PM,Crown Heights
7/8/2026,0,Leonard,Leonard,1:00PM,Crown Heights
7/8/2026,24,Leonard,Leonard,1:00PM,Crown Heights
7/8/2026,40,Marcy,Marcy,1:00PM,Crown Heights
7/8/2026,10,DeKalb,Dekalb,10:00AM,Crown Heights
7/8/2026,1,Greenpoint,Greenpoint,10:00AM,Crown Heights
7/8/2026,0,Leonard,Leonard,10:00AM,Crown Heights
7/8/2026,5,Marcy,Marcy,10:00AM,Crown Heights
7/8/2026,0,DeKalb,Dekalb,10:00PM,Crown Heights
7/8/2026,0,Greenpoint,Greenpoint,10:00PM,Crown Heights
7/8/2026,0,Leonard,Leonard,10:00PM,Crown Heights
7/8/2026,0,Leonard,Leonard,10:00PM,Crown Heights
7/8/2026,0,Marcy,Marcy,10:00PM,Crown Heights
